Modelo CPU,Hardware,Revisão,Serial,Modelo Rasp,MacAddress Ethernet,MacAddress Wifi,IP,Horas
ARMv7 Processor rev 3 (v7l),BCM2711,d03114,10000000829cebe7,Raspberry Pi 4 Model B Rev 1.4,e4:5f:01:c4:1a:1f,e4:5f:01:c4:1a:20,192.168.15.8,14:12:47 23/01/2023
ARMv7 Processor rev 3 (v7l),BCM2711,d03114,10000000829cebe7,Raspberry Pi 4 Model B Rev 1.4,e4:5f:01:c4:1a:1f,e4:5f:01:c4:1a:20,192.168.15.8,14:21:15 23/01/2023
